Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which company developed the iPhone?,Samsung,Apple,Nokia,Sony,Apple
What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Processing Unit,Control Processing Unit,Central Processing Unit
What is the programming language developed by Guido van Rossum?,C,Python,Java,Ruby,Python
Which social media platform owns Instagram?,Twitter,Google,Meta,Snapchat,Meta
Who was the first President of the United States?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
Who was the first woman to win a Nobel Prize?,Marie Curie,Mother Teresa,Rosalind Franklin,Florence Nightingale,Marie Curie
When did World War II end?,1942,1945,1947,1950,1945
Who was the last Mughal emperor?,Akbar,Aurangzeb,Bahadur Shah II,Shah Jahan,Bahadur Shah II
In which year did India gain independence?,1945,1947,1950,1952,1947
Which sport is known as the 'king of sports'?,Basketball,Football,Cricket,Tennis,Football
Who has won the most Olympic gold medals?,Usain Bolt,Michael Phelps,Carl Lewis,Mark Spitz,Michael Phelps
Which country won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
"In cricket, who is known as the 'God of Cricket'?",Virat Kohli,Sachin Tendulkar,MS Dhoni,Brian Lara,Sachin Tendulkar
Which country hosts Wimbledon?,USA,UK,Australia,France,UK
question,option1,option2,option3,option4,answer
What is the largest mammal?,Elephant,Blue Whale,Hippopotamus,Giraffe,Blue Whale
Which gas do plants release during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,Alexander Graham Bell
What is the square root of 144?,10,12,14,16,12
Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,Mercury
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,William Shakespeare
Which is the smallest continent?,Australia,Europe,Antarctica,South America,Australia
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,100°C
Which element has the chemical symbol 'O'?,Osmium,Gold,Oxygen,Silver,Oxygen
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Raphael,Van Gogh,Leonardo da Vinci
Which country is called the “Land of the Midnight Sun”?,Norway,Sweden,Finland,Iceland,Norway
What is the currency of Japan?,Yen,Dollar,Euro,Pound,Yen
How many continents are there on Earth?,5,6,7,8,7
What is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,Cheetah
Which organ pumps blood throughout the human body?,Liver,Heart,Kidney,Lungs,Heart
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,Isaac Newton
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
Which vitamin is produced when a person is exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
Which language is primarily spoken in Brazil?,Spanish,Portuguese,English,French,Portuguese
Which metal is used in electrical wiring due to its high conductivity?,Iron,Aluminum,Copper,Gold,Copper
question,option1,option2,option3,option4,answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which country is known as the Land of the Rising Sun?,China,Japan,Thailand,India,Japan
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Pacific
Who wrote the national anthem of India?,Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Mahatma Gandhi,Rabindranath Tagore
Which is the longest river in the world?,Amazon,Nile,Ganga,Yangtze,Nile
What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Water
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Mercury,Mars
What part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,Leaf
What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Au
How many bones are in the adult human body?,206,201,208,210,206
Who is known as the father of computers?,Alan Turing,Charles Babbage,Bill Gates,Steve Jobs,Charles Babbage
Which gas do plants release during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,Alexander Graham Bell
What is the square root of 144?,10,12,14,16,12
Which planet is closest to the Sun?,Venus,Mercury,Earth,Mars,Mercury
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,William Shakespeare
Which is the smallest continent?,Australia,Europe,Antarctica,South America,Australia
What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,100°C
Which element has the chemical symbol 'O'?,Osmium,Gold,Oxygen,Silver,Oxygen
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Raphael,Van Gogh,Leonardo da Vinci
Which country is called the “Land of the Midnight Sun”?,Norway,Sweden,Finland,Iceland,Norway
What is the currency of Japan?,Yen,Dollar,Euro,Pound,Yen
How many continents are there on Earth?,5,6,7,8,7
What is the fastest land animal?,Cheetah,Lion,Tiger,Leopard,Cheetah
Which organ pumps blood throughout the human body?,Liver,Heart,Kidney,Lungs,Heart
Who discovered gravity?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,Isaac Newton
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter
Which vitamin is produced when a person is exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
Which language is primarily spoken in Brazil?,Spanish,Portuguese,English,French,Portuguese
Which metal is used in electrical wiring due to its high conductivity?,Iron,Aluminum,Copper,Gold,Copper
Which is the deepest ocean trench in the world?,Mariana,Puerto Rico,Java,Java Trench,Mariana
What is the smallest prime number?,0,1,2,3,2
Which planet has the most moons?,Earth,Mars,Jupiter,Saturn,Jupiter
Who is the author of 'Harry Potter' series?,J.K. Rowling,R.L. Stine,Stephen King,C.S. Lewis,J.K. Rowling
Which is the largest desert in the world?,Sahara,Arabian,Gobi,Antarctic,Antarctic
Which organ in the human body detoxifies chemicals?,Heart,Liver,Kidney,Lungs,Liver
What is the freezing point of water in Celsius?,0,32,100,-1,0
Who invented the light bulb?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,Thomas Edison
Which gas is most abundant in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Nitrogen
What is the main gas responsible for global warming?,Oxygen,Nitrogen,Carbon Dioxide,Helium,Carbon Dioxide
Who was the first president of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,George Washington
Which is the largest mammal?,Elephant,Blue Whale,Hippopotamus,Giraffe,Blue Whale
Which planet is called the “Morning Star”?,Venus,Mars,Saturn,Jupiter,Venus
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,Michelangelo
What is the currency of the United Kingdom?,Dollar,Pound,Euro,Yen,Pound
Which element has the chemical symbol 'Na'?,Nitrogen,Sodium,Neon,Nickel,Sodium
What is the largest organ in the human body?,Heart,Liver,Skin,Lungs,Skin
Which planet is known for its rings?,Jupiter,Saturn,Uranus,Mars,Saturn
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Edward Jenner,Alexander Fleming
Which is the tallest mountain in the world?,K2,Everest,Kangchenjunga,Lhotse,Everest
Which is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,Greenland
Who wrote 'The Odyssey'?,Homer,Virgil,Dante,Shakespeare,Homer
Which is the fastest bird in the world?,Eagle,Peregrine Falcon,Sparrow,Hawk,Peregrine Falcon
What is the chemical symbol for Iron?,Ir,Fe,I,In,Fe
Who is known as the father of modern physics?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,Albert Einstein
Which country gifted the Statue of Liberty to the USA?,France,England,Germany,Italy,France
What is the main component of the sun?,Oxygen,Hydrogen,Helium,Carbon,Hydrogen
Which is the largest continent?,Asia,Africa,Europe,North America,Asia
Who invented the printing press?,Johannes Gutenberg,Thomas Edison,Alexander Graham Bell,Nikola Tesla,Johannes Gutenberg
Which planet is known as the “Evening Star”?,Venus,Mars,Mercury,Saturn,Venus
What is the main gas humans breathe in?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Oxygen
Which organ is responsible for producing insulin?,Liver,Pancreas,Kidney,Heart,Pancreas
What is the largest species of shark?,Great White Shark,Whale Shark,Tiger Shark,Mako Shark,Whale Shark
Who discovered electricity?,Benjamin Franklin,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Benjamin Franklin
Which is the largest lake in the world?,Caspian Sea,Superior,Lake Victoria,Lake Huron,Caspian Sea
What is the smallest unit of life?,Atom,Cell,Molecule,Tissue,Cell
Which element has the chemical symbol 'K'?,Potassium,Krypton,Kalium,Kadmium,Potassium
Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Elon Musk,Bill Gates
Which animal is known as the King of the Jungle?,Lion,Tiger,Elephant,Leopard,Lion
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,Diamond
Which country is famous for the Eiffel Tower?,France,Italy,Germany,Spain,France
Who wrote 'Pride and Prejudice'?,Charlotte Bronte,Jane Austen,Emily Bronte,Mary Shelley,Jane Austen
Which is the longest river in India?,Ganga,Brahmaputra,Yamuna,Godavari,Ganga
What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2,NaCl
Which planet is farthest from the Sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
Who is known as the father of geometry?,Pythagoras,Euclid,Archimedes,Aristotle,Euclid
Which is the smallest country in the world?,Monaco,Malta,Vatican City,Liechtenstein,Vatican City
What is the chemical symbol for silver?,Ag,Au,Si,Sl,Ag
Which is the largest bird in the world?,Ostrich,Eagle,Albatross,Condor,Ostrich
Which country is known as the Land of the Thunder Dragon?,Nepal,Bhutan,Thailand,Laos,Bhutan
Who invented the World Wide Web?,Tim Berners-Lee,Steve Jobs,Bill Gates,Mark Zuckerberg,Tim Berners-Lee
Which planet is called the “Gas Giant”?,Earth,Mars,Saturn,Venus,Saturn
What is the human body's largest artery?,Aorta,Carotid,Subclavian,Femoral,Aorta
Who is the author of 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,Mark Twain,John Steinbeck,F. Scott Fitzgerald
Which animal is known for changing colors?,Chameleon,Octopus,Frog,Snake,Chameleon
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,Mitochondria
Which country is home to the kangaroo?,Australia,India,Brazil,South Africa,Australia
Which element is essential for bones?,Calcium,Iron,Magnesium,Sodium,Calcium
Who painted 'Starry Night'?,Vincent Van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,Vincent Van Gogh
Which planet has a day longer than its year?,Mercury,Venus,Mars,Jupiter,Venus
What is the chemical symbol for hydrogen?,H,O,He,Hy,H
Who is known as the father of medicine?,Hippocrates,Galileo,Aristotle,Plato,Hippocrates
Which is the smallest ocean in the world?,Arctic,Atlantic,Indian,Pacific,Arctic
Which organ stores bile?,Liver,Stomach,Pancreas,Gallbladder,Gallbladder
Who wrote 'To Kill a Mockingbird'?,Harper Lee,J.K. Rowling,Mark Twain,Ernest Hemingway,Harper Lee
Which is the largest volcano in the world?,Mauna Loa,Mount Etna,Mount Fuji,Mount Kilimanjaro,Mauna Loa
Which gas do humans exhale?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide
Who was the first man to walk on the moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Pluto,Mercury
Which is the largest desert in Asia?,Gobi,Sahara,Karakum,Thar,Gobi
Which element has the chemical symbol 'C'?,Calcium,Carbon,Cobalt,Chlorine,Carbon
Which is the national flower of India?,Lotus,Rose,Lily,Jasmine,Lotus
Who is the author of '1984'?,George Orwell,Aldous Huxley,J.K. Rowling,Ernest Hemingway,George Orwell
Which is the fastest marine animal?,Sailfish,Dolphin,Shark,Tuna,Sailfish
What is the chemical formula for carbon dioxide?,CO2,CO,H2O,CH4,CO2
Which planet is known as the “Blue Planet”?,Earth,Neptune,Uranus,Mars,Earth
Who is known as the father of modern chemistry?,Antoine Lavoisier,Dmitri Mendeleev,Marie Curie,Nikola Tesla,Antoine Lavoisier
Which organ regulates water balance in the human body?,Liver,Kidney,Heart,Lungs,Kidney
Who discovered the law of motion?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,Isaac Newton
Which is the largest species of cat?,Lion,Tiger,Leopard,Jaguar,Tiger
question,option1,option2,option3,option4,answer
Which country is famous for the Great Wall?,China,Japan,India,Russia,China
What is the smallest continent by population?,Australia,Europe,Antarctica,Africa,Antarctica
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,J.D. Salinger
Which planet is known for its tilted axis?,Venus,Mars,Uranus,Jupiter,Uranus
What is the process of water turning into vapor called?,Condensation,Evaporation,Precipitation,Sublimation,Evaporation
Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Albert Einstein
Which is the largest species of bear?,Grizzly Bear,Polar Bear,Panda Bear,Black Bear,Polar Bear
What is the chemical formula of ammonia?,NH3,CH4,H2O,CO2,NH3
Which country is home to the Eiffel Tower?,France,Italy,Spain,Germany,France
Who discovered the electron?,J.J. Thomson,Marie Curie,Albert Einstein,Isaac Newton,J.J. Thomson
Which gas is used in balloons to make them float?,Oxygen,Helium,Nitrogen,Carbon Dioxide,Helium
Which animal is known for having black and white stripes?,Zebra,Tiger,Leopard,Hyena,Zebra
What is the main language spoken in Argentina?,Spanish,Portuguese,English,French,Spanish
Who is the author of 'The Hobbit'?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George Orwell,J.R.R. Tolkien
Which planet is closest to Earth?,Venus,Mars,Jupiter,Saturn,Venus
What is the largest internal organ of the human body?,Liver,Heart,Lungs,Stomach,Liver
Which is the longest bone in the human body?,Femur,Tibia,Humerus,Radius,Femur
Who is known as the “Iron Man of India”?,Sardar Patel,Mahatma Gandhi,Nehru,B.R. Ambedkar,Sardar Patel
Which element has the highest atomic number?,Uranium,Oganesson,Gold,Lead,Oganesson
Which river flows through Egypt?,Nile,Amazon,Ganga,Yangtze,Nile
What is the chemical symbol for lead?,Pb,Au,Ag,Fe,Pb
Which is the largest species of turtle?,Leatherback Sea Turtle,Green Sea Turtle,Hawksbill Turtle,Loggerhead Turtle,Leatherback Sea Turtle
Who painted 'The Last Supper'?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Leonardo da Vinci
Which organ in the human body produces bile?,Liver,Pancreas,Stomach,Kidney,Liver
Which country is the origin of the tulip?,Netherlands,France,Turkey,Italy,Turkey
Which is the fastest land mammal?,Cheetah,Lion,Tiger,Leopard,Cheetah
Who discovered the structure of DNA?,Watson & Crick,Gregor Mendel,Charles Darwin,Louis Pasteur,Watson & Crick
Which element is required for hemoglobin?,Iron,Calcium,Magnesium,Potassium,Iron
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which planet is famous for its red color?,Mars,Venus,Jupiter,Mercury,Mars
Who is the author of 'The Alchemist'?,Paulo Coelho,George Orwell,J.K. Rowling,Ernest Hemingway,Paulo Coelho
Which is the highest mountain in Africa?,Mount Kilimanjaro,Mount Kenya,Atlas Mountains,Rwenzori,Mount Kilimanjaro
Which organ filters blood in the human body?,Kidney,Liver,Heart,Lungs,Kidney
Which is the largest species of fish?,Whale Shark,Great White Shark,Shark Mako,Tuna,Whale Shark
What is the process by which plants make their food?,Photosynthesis,Respiration,Transpiration,Digestion,Photosynthesis
Who invented the steam engine?,James Watt,Thomas Edison,Nikola Tesla,Alexander Graham Bell,James Watt
Which country is known as the “Land of Fire and Ice”?,Iceland,Norway,Finland,Sweden,Iceland
Which planet has the shortest day?,Jupiter,Saturn,Mars,Mercury,Jupiter
Who is the author of 'The Little Prince'?,Antoine de Saint-Exupéry,J.K. Rowling,George Orwell,Mark Twain,Antoine de Saint-Exupéry
What is the largest species of penguin?,Emperor Penguin,King Penguin,Adelie Penguin,Chinstrap Penguin,Emperor Penguin
Which is the longest river in South America?,Amazon,Nile,Yangtze,Mississippi,Amazon
Which is the largest ocean in the world?,Pacific,Atlantic,Indian,Arctic,Pacific
Who invented the first airplane?,Wright Brothers,Alexander Graham Bell,Nikola Tesla,Thomas Edison,Wright Brothers
Which gas is essential for respiration?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Which animal is known for having a pouch?,Kangaroo,Koala,Elephant,Tiger,Kangaroo
Which country is famous for the Colosseum?,Italy,Greece,France,Spain,Italy
Which planet is the largest in the solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Who wrote 'Hamlet'?,William Shakespeare,Mark Twain,Charles Dickens,Jane Austen,William Shakespeare
Which country is known as the “Emerald Isle”?,Ireland,Scotland,Norway,Sweden,Ireland
Which element has the chemical symbol 'Mg'?,Magnesium,Manganese,Mercury,Mo,Magnesium
Who is known as the father of Indian nuclear program?,Homi J. Bhabha,Abdul Kalam,Jagadish Chandra Bose,C.V. Raman,Homi J. Bhabha
Which organ stores urine?,Bladder,Liver,Kidney,Stomach,Bladder
Which is the fastest marine mammal?,Dolphin,Shark,Seal,Whale,Dolphin
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
Which gas is used in fluorescent lamps?,Neon,Argon,Helium,Krypton,Argon
Who discovered radioactivity?,Marie Curie,Albert Einstein,Isaac Newton,Nikola Tesla,Marie Curie
Which is the largest coral reef system in the world?,Great Barrier Reef,Red Sea Reef,Mesoamerican Reef,Florida Reef,Great Barrier Reef
Which planet is known for its storm called the “Great Red Spot”?,Jupiter,Saturn,Mars,Uranus,Jupiter
Who is the author of 'War and Peace'?,Leo Tolstoy,Charles Dickens,Mark Twain,Victor Hugo,Leo Tolstoy
Which is the largest mammal on land?,Elephant,Blue Whale,Rhino,Hippopotamus,Elephant
Which is the most abundant metal in the Earth's crust?,Aluminum,Iron,Gold,Silver,Aluminum
Which country is called the “Land of the Maple Leaf”?,Canada,USA,UK,Australia,Canada
What is the largest artery in the human body?,Aorta,Carotid,Coronary,Jugular,Aorta
Which planet has the most volcanoes?,Venus,Mars,Jupiter,Earth,Venus
Who discovered the first vaccine?,Edward Jenner,Louis Pasteur,Alexander Fleming,Marie Curie,Edward Jenner
Which is the largest species of bear?,Polar Bear,Grizzly Bear,Black Bear,Panda Bear,Polar Bear
Which element has the chemical symbol 'Zn'?,Zinc,Zirconium,Neon,Nickel,Zinc
Who wrote 'Les Misérables'?,Victor Hugo,Charles Dickens,Mark Twain,Leo Tolstoy,Victor Hugo
Which animal lays the largest eggs?,Ostrich,Emu,Chicken,Turkey,Ostrich
Which is the tallest building in the world?,Burj Khalifa,Shanghai Tower,One World Trade Center,Petronas Towers,Burj Khalifa
Which planet is known as the Morning Star?,Venus,Mars,Mercury,Jupiter,Venus
